user_id,total_spent,items_count,recommend_total,percent_recommend
182748927838783778382,120.9,21,0.0,0.0
182828282,484.7,44,0.0,0.0
18283848,976.49,72,0.0,0.0
1829369648,0.0,2,0.0,0.0
18481,2134.78,154,2.0,1.3
1850172512752815,147.41,28,1.0,3.57
18504965711,1046.44,80,0.0,0.0
1859082899,68.95,17,0.0,0.0
186038013,0.0,1,0.0,0.0
1870380085,298.79,43,0.0,0.0
1873410337,384.82,39,8.0,20.51
1875489156748,386.73,52,1.0,1.92
187625,395.62,121,2.0,1.65
18855881,3013.14,204,0.0,0.0
1889999999999999,249.91,35,1.0,2.86
19-20-5-20-27-5-18,154.88,32,1.0,3.12
190120001826,0.0,2,0.0,0.0
1920410,1099.42,87,0.0,0.0
19210801,220.85,51,0.0,0.0
1922001,510.1,94,2.0,2.13
1930234,591.69,82,0.0,0.0
19365,1421.15,103,0.0,0.0
19372250,1963.8899999999999,137,1.0,0.73
1937648259137856lkjnoik,44.96,9,0.0,0.0
1944086851,64.95,14,1.0,7.14
1947CARROTS,104.93,26,0.0,0.0
194847383,954.3199999999999,135,6.0,4.44
1956aa1,1587.42,113,1.0,0.88
195862,625.64,69,5.0,7.25
19702316748,942.3,94,0.0,0.0
19720911,0.0,5,0.0,0.0
19820182123,169.94,13,0.0,0.0
1994dbc,2084.72,207,1.0,0.48
1997-07-06_J077,29.98,7,0.0,0.0
19990923,229.89999999999998,41,1.0,2.44
199A,138.91,27,0.0,0.0
19te_Polska,984.42,70,1.0,1.43
1BUCK80,329.86,32,0.0,0.0
1GN33L,224.88,20,0.0,0.0
1MLG2U,350.57,59,5.0,8.47
1NFR33,1943.8999999999999,196,1.0,0.51
1R1M1,323.74,52,1.0,1.92
1UK33Y,359.78,30,0.0,0.0
1_Taipan,361.83,25,0.0,0.0
1a1u14,365.74,76,2.0,2.63
1dog636,1042.23,104,0.0,0.0
1epicninja,994.43,91,5.0,5.49
1iam1iam1iam,804.6899999999999,70,3.0,4.29
1jamesn4,930.4,82,2.0,2.44
1qaz2wwx010,44.97,23,0.0,0.0
1silentsniper1,3637.87,319,1.0,0.31
1snap,1978.52,179,6.0,3.35
1stBLUE-COW,342.77,52,1.0,1.92
1stpionpaul,2066.69,162,1.0,0.62
1sttperson,379.77,42,0.0,0.0
1v1meguy,3240.77,245,2.0,0.82
1v1meinclubpenguinscrub,334.81,28,0.0,0.0
1v1mim8,658.55,70,0.0,0.0
2000jtc,688.65,60,0.0,0.0
2001911,9.99,4,0.0,0.0
200220006,1835.01,139,1.0,0.72
20041213,19.98,27,2.0,7.41
200719917302,799.61,59,0.0,0.0
200px-spy-taunt-laugh,69.95,18,1.0,5.56
2011368123,3115.0099999999998,252,1.0,0.4
20115011,9.99,4,0.0,0.0
205723552,29.98,15,0.0,0.0
2080308,722.47,85,2.0,2.35
2092000666,165.85999999999999,31,3.0,9.68
210519992016,593.5899999999999,84,1.0,1.19
21072013,39.98,21,0.0,0.0
211011374,529.77,32,1.0,3.12
21129393,34.97,9,0.0,0.0
2114521846341684,149.91,13,0.0,0.0
2121312,34.97,17,0.0,0.0
2125125126,34.97,6,0.0,0.0
212blair212,104.92,17,0.0,0.0
213123123132,460.66,200,0.0,0.0
21321112399,189.91,13,0.0,0.0
2139093311,9.99,7,0.0,0.0
215251,312.83,35,0.0,0.0
216712138,883.54,92,1.0,1.09
218939137821738213127983,602.6,92,0.0,0.0
219121912191,44.97,13,0.0,0.0
21lord21drag,59.97,5,0.0,0.0
22109203,672.1,98,0.0,0.0
222081994,310.87,26,0.0,0.0
2222224444555985,204.9,35,0.0,0.0
2222455,1445.8799999999999,131,1.0,0.76
2233dog15,265.89,17,0.0,0.0
22491987,307.83,51,0.0,0.0
22502250,877.56,77,1.0,1.3
225544,774.5,72,2.0,2.78
225555,195.89,17,1.0,5.88
226rep,159.94,10,0.0,0.0
2271531450,89.9,25,1.0,4.0
2293371488,225.29,47,0.0,0.0
23012003,94.94,18,2.0,11.11
231091,2650.58,184,1.0,0.54
2311985201258745633313,371.82,37,0.0,0.0
231321455,274.82,60,5.0,8.33
23142433253545,1249.24,122,0.0,0.0
23184798,97.91,32,1.0,3.12
2323534545,1299.06,158,5.0,3.16
233433,22.979999999999997,8,0.0,0.0
2342526,624.65,52,0.0,0.0
23434454365463446754546576e45646,756.4499999999999,99,2.0,2.02
2345XXXXX,313.74,52,0.0,0.0
234671,149.88,28,0.0,0.0
235269,1125.74,88,1.0,1.14
235324234732,255.76,27,0.0,0.0
2364786499,609.52,49,1.0,2.04
23745736,418.79,74,2.0,2.7
2378695,34.98,2,0.0,0.0
2390746539217,360.86,23,2.0,8.7
23974656456,714.55,84,1.0,1.19
2398,226.62,22,0.0,0.0
23Batman05,1337.1399999999999,145,7.0,4.83
23jesus23,619.64,70,0.0,0.0
24045681579016271,29.97,15,0.0,0.0
24101738,59.99,34,1.0,2.94
243567890,44.97,7,0.0,0.0
2435689,651.51,76,0.0,0.0
2435764824567835,149.9,26,0.0,0.0
24453,1105.5,74,2.0,2.7
2448531,387.62,80,1.0,1.25
24532453,1176.28,134,0.0,0.0
24596,819.81,121,1.0,0.83
24681256447,67.94999999999999,11,0.0,0.0
246823,265.85,25,1.0,4.0
247211,1469.75,154,5.0,3.25
2479742,1355.33,106,3.0,2.83
248392584,30.96,7,0.0,0.0
248482,2826.39,277,0.0,0.0
24862345243,696.64,49,0.0,0.0
24902,427.78,45,0.0,0.0
249758,3298.33,181,1.0,0.55
24BallerJK,39.97,9,0.0,0.0
24CmRuler,858.5,77,0.0,0.0
25050,905.35,99,1.0,1.01
25061841,170.89,15,0.0,0.0
25230405,989.39,98,1.0,1.02
25231341243,218.84,34,0.0,0.0
2539428377924,822.49,106,0.0,0.0
256565,183.89,18,0.0,0.0
2571,8266.07,690,5.0,0.72
259987556434546,1118.68,121,0.0,0.0
25_Years_Since_Freddie,309.81,30,6.0,20.0
26070,475.72999999999996,36,1.0,2.78
2608739,24.98,5,2.0,40.0
26292919,590.61,94,0.0,0.0
2647891,39.97,8,1.0,12.5
2688789326887893,245.88,73,0.0,0.0
269485,3811.54,284,0.0,0.0
27073108,1223.3899999999999,106,1.0,0.94
27601MCM,304.78,58,1.0,1.72
27649735,0.0,2,0.0,0.0
2768820078,1550.26,91,8.0,8.79
279519365,1103.28,127,1.0,0.79
27dnguyen,226.77,29,0.0,0.0
28019769,2258.69,124,0.0,0.0
2826,110.94,7,0.0,0.0
2891723967123,2023.6299999999999,160,5.0,3.12
28yelkco,219.84,32,0.0,0.0
29017637452801,496.54,86,1.0,1.16
291129112911291129112911,489.65,68,1.0,1.47
29123,119.93,18,4.0,22.22
2933725,0.0,2,0.0,0.0
2987654235,15.98,8,0.0,0.0
29998000,264.83,46,2.0,4.35
2Chill,1194.06,122,3.0,2.46
2Degrees,1138.43,82,3.0,3.66
2EzRogueDH,99.96000000000001,12,5.0,41.67
2JZEEEEBABY,877.54,61,2.0,3.28
2Lethal,1282.07,117,3.0,2.56
2Ryo2Know,217.85,29,0.0,0.0
2Ta4,3401.22,362,2.0,0.55
2ZESTY4ME,420.75,82,2.0,2.44
2amigosupremos753,0.0,1,0.0,0.0
2cq,9230.619999999999,898,0.0,0.0
2d4nk4m3,697.36,160,1.0,0.62
2edgy4youboi,790.48,84,6.0,7.14
2ez2xl,726.49,79,2.0,2.53
2ez4medick,382.74,32,1.0,3.12
2fast4u271,256.76,39,0.0,0.0
2g00d4u,100.92,14,0.0,0.0
2greasy,452.51,33,0.0,0.0
2ik4tf,165.86,22,1.0,4.55
2kewl4you,19.99,9,0.0,0.0
2lstgun,237.84,31,1.0,3.23
2matoe,150.87,24,0.0,0.0
2muchred,1661.84,149,0.0,0.0
2nerdssemvida,187.79,101,2.0,1.98
2pac_Skai,0.0,1,0.0,0.0
2pacisaliveincuba,3525.38,303,1.0,0.33
2ptwisted,131.94,18,0.0,0.0
2red12,1778.95,151,1.0,0.66
2sBs,2482.37,219,10.0,4.57
2sd31,170.9,11,1.0,9.09
2seggy4um8havalook,54.97,10,0.0,0.0
2she,488.57,57,0.0,0.0
2sneaky5u,3141.85,291,1.0,0.34
2spookis,1617.42,199,1.0,0.5
2spooky,3901.96,323,5.0,1.55
2unimaginative4u,40.96,23,0.0,0.0
2v1meyoucheekyscrub,559.75,42,1.0,2.38
2xDelorean,439.7,55,4.0,7.27
30035115,1353.27,97,0.0,0.0
300799,24.98,14,0.0,0.0
30102000,0.0,1,0.0,0.0
30102002,167.32999999999998,33,1.0,3.03
3021Daniel,1371.23,105,1.0,0.95
3038070,34.980000000000004,5,0.0,0.0
3046123,848.6,70,1.0,1.43
305010,882.52,67,0.0,0.0
30699,214.91,29,0.0,0.0
30XxPikachuxX03,0.0,3,0.0,0.0
313134,4559.8,378,0.0,0.0
314155156915923,248.76,36,2.0,5.56
31456576727471577757175717,39.97,21,0.0,0.0
31575,184.8,73,1.0,1.37
317733235,345.73,58,1.0,1.72
317984739321,472.71,75,3.0,4.0
317jim,14.99,15,0.0,0.0
318941651,270.81,42,0.0,0.0
3197,467.66999999999996,44,3.0,6.82
320RustPro,29.97,11,2.0,18.18
3214213216,224.19,107,1.0,0.93
321541,253.81,26,0.0,0.0
3218998529,19.98,2,0.0,0.0
3265899423,437.7,66,0.0,0.0
326759263846544,1869.43,294,1.0,0.34
329838102,49.96,19,2.0,10.53
32bitmaximus,1115.29,79,1.0,1.27
33275,69.95,9,0.0,0.0
3333322,0.0,1,0.0,0.0
333333259,129.93,15,0.0,0.0
33334scat,432.76,59,1.0,1.69
333666333111,245.86,24,0.0,0.0
333hab,2440.2799999999997,234,1.0,0.43
33442,14.99,7,1.0,14.29
334756875,610.49,111,3.0,2.7
34234252sd,49.97,16,0.0,0.0
3423523425433425,1553.09,118,1.0,0.85
343221221,586.5,52,1.0,1.92
34324132,596.68,41,1.0,2.44
343574890,226.87,27,0.0,0.0
34383536,117.42,14,0.0,0.0
343rox,190.88,18,0.0,0.0
34451,0.0,1,0.0,0.0
3456457568,715.59,90,0.0,0.0
34565754,384.84,28,0.0,0.0
3456669133723,49.96,9,0.0,0.0
345675,2276.67,180,9.0,5.0
34568535890075433578,527.76,44,0.0,0.0
34573671264yi,639.56,92,1.0,1.09
345827357205098,199.87,31,0.0,0.0
3496148694969,1664.3799999999999,132,0.0,0.0
350176,240.85,32,0.0,0.0
350241,2261.0,184,1.0,0.54
352039981386723,384.77,30,0.0,0.0
3523436346,1243.23,99,2.0,2.02
35353534,281.82,29,3.0,10.34
35475,2223.22,161,2.0,1.24
3548548564856498484894,1821.87,149,5.0,3.36
3565Jason,179.91,22,2.0,9.09
36033,171.84,32,0.0,0.0
360NoScopeMLGBLAZEGirlGamer69,84.94,10,0.0,0.0
360j1mmy,3989.48,314,3.0,0.96
3635,374.71,101,0.0,0.0
363997099,59.97,8,0.0,0.0
36864,333.78,22,1.0,4.55
369231461278416,819.55,127,2.0,1.57
36_T,3382.5699999999997,259,8.0,3.09
373848099,798.53,99,1.0,1.01
37755753,1796.91,136,8.0,5.88
378366354,621.67,69,0.0,0.0
37891266723,1406.15,144,0.0,0.0
380012,213.87,16,0.0,0.0
381644,962.29,84,1.0,1.19
38174962156174513,364.88,25,0.0,0.0
38189307,178.83,20,0.0,0.0
387561,237.66,18,0.0,0.0
38927497,8274.18,725,1.0,0.14
38y685ie4e89r78,64.96,13,0.0,0.0
391204566,1316.41,89,1.0,1.12
3Ldota,29.98,6,3.0,50.0
3dster,1148.19,113,1.0,0.88
3eBpA,1049.23,140,1.0,0.71
3lAckCAt,866.36,114,1.0,0.88
3mike,1261.12,106,0.0,0.0
3mperi0,444.52,41,0.0,0.0
3nv3y,1875.6299999999999,139,0.0,0.0
3ring,146.85,24,0.0,0.0
3stantedja,14.99,6,0.0,0.0
3teGZ_Rorschach,1123.48,70,7.0,10.0
3th3,225.85,66,8.0,12.12
3vild33d,490.7,41,0.0,0.0
3xU,1463.19,146,1.0,0.68
3xc4l18urblue,802.4,76,0.0,0.0
3xotic26,1954.73,153,4.0,2.61
400primetopkeks,151.87,18,0.0,0.0
4017209381,19.99,10,0.0,0.0
402553929,507.73,54,1.0,1.85
4043RROR,889.47,91,2.0,2.2
404PlayerNotFound,983.38,86,0.0,0.0
404ok4561687987879847,109.94,16,0.0,0.0
4131723314123,148.82,33,0.0,0.0
414291,287.79999999999995,40,0.0,0.0
41781029,367.67,51,1.0,1.96
4200769711,139.89,26,1.0,3.85
4201,483.75,31,0.0,0.0
4202346,568.59,73,0.0,0.0
420BlazeItMLG,24.98,23,2.0,8.7
420Blz,2353.49,199,1.0,0.5
420BlzeIT,224.83,40,1.0,2.5
420DankMasterKush420,861.9,102,2.0,1.96
420NigelGaming420,324.77,48,5.0,10.42
420_Blaze_It_Fgt,0.0,18,2.0,11.11
420believe,434.68,43,0.0,0.0
420blazedondaweedguyz,239.85,29,0.0,0.0
420blazefag00t,94.97,5,0.0,0.0
420blazeitbitches,255.81,22,0.0,0.0
420blaznnoscope,116.9,30,0.0,0.0
420box,1494.03,137,0.0,0.0
